sample,hours,gam_24h,gam_1h
3,6,134.4141082763672,137.59019470214844
3,7,117.6633071899414,165.6129608154297
3,8,117.99623107910156,202.2808074951172
3,9,114.48139953613281,208.494140625
3,10,93.25863647460938,176.8797149658203
3,11,91.31932830810547,158.92373657226562
3,12,94.86924743652344,162.4250946044922
3,13,109.38299560546875,158.83087158203125
3,14,122.49689483642578,134.95811462402344
3,15,129.79489135742188,146.62677001953125
3,16,130.7438507080078,166.4941864013672
3,17,128.51536560058594,170.21987915039062
3,18,132.80276489257812,195.8843536376953
3,19,135.18655395507812,194.8589630126953
3,20,128.9947509765625,169.1967010498047
3,21,125.95455932617188,147.59837341308594
3,22,138.1812744140625,133.90139770507812
3,23,135.53993225097656,133.6626434326172
4,0,146.34860229492188,128.4736328125
4,1,142.35922241210938,122.39642333984375
4,2,138.75474548339844,122.07719421386719
4,3,130.48643493652344,116.01708221435547
4,4,124.13426208496094,114.88011169433594
4,5,122.37370300292969,126.91207122802734
4,6,119.4109115600586,123.64527130126953
4,7,114.42278289794922,128.9032440185547
4,8,103.98506927490234,148.65672302246094
4,9,101.42723846435547,147.22158813476562
4,10,95.00348663330078,130.98709106445312
4,11,90.88578033447266,136.870361328125
4,12,92.46501159667969,132.62754821777344
4,13,102.57233428955078,127.80010223388672
4,14,113.77072143554688,125.72023010253906
4,15,119.60386657714844,142.61172485351562
4,16,122.31849670410156,154.1694793701172
4,17,118.24759674072266,139.61485290527344
4,18,110.20413970947266,161.514892578125
4,19,101.63455963134766,158.5083465576172
4,20,96.58454895019531,149.2510223388672
4,21,95.49993896484375,131.90101623535156
4,22,92.5464859008789,119.50191497802734
4,23,95.27110290527344,117.20736694335938
5,0,97.03807830810547,47.6027717590332
5,1,97.75984954833984,36.807701110839844
5,2,93.9837417602539,28.877357482910156
5,3,90.70779418945312,19.900012969970703
5,4,70.52474975585938,23.6993408203125
5,5,57.455204010009766,21.766511917114258
5,6,37.646976470947266,25.01947021484375
5,7,35.04246139526367,10.59308910369873
5,8,35.85914611816406,25.317583084106445
5,9,34.030696868896484,26.690086364746094
5,10,35.34891891479492,49.99551010131836
5,11,37.29092025756836,51.04990005493164
5,12,36.879093170166016,56.25259017944336
5,13,38.829933166503906,74.3318862915039
5,14,38.1965446472168,61.478370666503906
5,15,45.57945251464844,70.5461654663086
5,16,85.18949127197266,84.51154327392578
5,17,99.41337585449219,114.65867614746094
5,18,108.58155059814453,111.95683288574219
5,19,106.37223815917969,127.1661376953125
5,20,101.65218353271484,125.57229614257812
5,21,104.37355041503906,106.50390625
5,22,103.4411849975586,103.89111328125
5,23,111.96189880371094,80.9756088256836
6,0,124.06604766845703,70.03939056396484
6,1,125.72373962402344,58.618316650390625
6,2,121.14686584472656,59.00190353393555
6,3,116.94160461425781,53.264991760253906
6,4,110.6274642944336,62.76739501953125
6,5,110.66886901855469,82.63677978515625
6,6,82.12944030761719,95.38790893554688
6,7,81.2349853515625,101.16902160644531
6,8,74.4048843383789,129.25259399414062
6,9,62.906410217285156,139.1199951171875
6,10,50.88301467895508,132.7512969970703
6,11,76.86943817138672,122.27806854248047
6,12,101.48020935058594,129.03187561035156
6,13,118.89860534667969,138.32347106933594
6,14,134.7080078125,136.8004913330078
6,15,151.3864288330078,135.2256622314453
6,16,164.385986328125,139.95907592773438
6,17,157.7630615234375,158.22564697265625
6,18,158.72402954101562,156.30288696289062
6,19,141.13742065429688,140.54847717285156
6,20,136.71087646484375,128.40585327148438
6,21,139.60964965820312,124.31612396240234
6,22,141.2388916015625,121.83690643310547
6,23,149.88999938964844,98.1826400756836
7,0,157.11041259765625,115.40803527832031
7,1,157.5206298828125,123.44731903076172
7,2,155.84962463378906,121.59894561767578
7,3,146.61134338378906,119.02638244628906
7,4,136.99302673339844,112.4372787475586
7,5,129.93714904785156,113.59992218017578
7,6,109.06446075439453,119.23223876953125
7,7,115.25736999511719,144.5556182861328
7,8,105.90975189208984,159.87945556640625
7,9,103.44855499267578,160.69125366210938
7,10,95.85787200927734,155.85443115234375
7,11,102.80510711669922,142.4164276123047
7,12,114.84538269042969,142.75148010253906
7,13,133.1707000732422,145.99465942382812
7,14,149.07984924316406,156.42735290527344
7,15,160.00433349609375,160.4334259033203
7,16,157.66436767578125,157.30987548828125
7,17,153.3258514404297,160.27362060546875
7,18,144.0157470703125,158.64166259765625
7,19,141.34376525878906,148.4256134033203
7,20,140.8816680908203,141.8831024169922
7,21,140.52108764648438,135.74867248535156
7,22,134.06069946289062,129.96743774414062
7,23,132.0975341796875,98.8960952758789
8,0,134.17706298828125,55.85122299194336
8,1,129.78273010253906,49.50162887573242
8,2,118.94354248046875,40.068275451660156
8,3,110.3981704711914,32.09318161010742
8,4,98.20052337646484,39.387939453125
8,5,78.56227111816406,48.59111022949219
8,6,46.64073181152344,58.9028205871582
8,7,42.57820510864258,64.38253021240234
8,8,43.432884216308594,83.50122833251953
8,9,42.568153381347656,85.61675262451172
8,10,42.34600067138672,95.95101165771484
8,11,41.63282775878906,101.52246856689453
8,12,41.295257568359375,104.01152801513672
8,13,57.55708694458008,115.0418472290039
8,14,101.84558868408203,100.66787719726562
8,15,121.19902038574219,110.40912628173828
8,16,128.56524658203125,118.4415512084961
8,17,129.59735107421875,127.8523941040039
8,18,126.87971496582031,139.38316345214844
8,19,118.4412841796875,134.17481994628906
8,20,113.09416961669922,125.92261505126953
8,21,112.37153625488281,119.28115844726562
8,22,112.05802154541016,111.14446258544922
8,23,114.66731262207031,87.58728790283203
9,0,115.4327392578125,61.75153350830078
9,1,118.53326416015625,51.86404037475586
9,2,113.73164367675781,40.8288459777832
9,3,115.94206237792969,48.4189338684082
9,4,107.1266098022461,72.6393814086914
9,5,90.35807037353516,79.27278137207031
9,6,55.95090866088867,88.68952178955078
9,7,67.5312271118164,100.50578308105469
9,8,45.114356994628906,88.45001220703125
9,9,44.36787796020508,97.66109466552734
9,10,44.91781234741211,109.47672271728516
9,11,43.21392059326172,113.89686584472656
9,12,48.108455657958984,117.71198272705078
9,13,93.30511474609375,120.35599517822266
9,14,113.79261016845703,115.41227722167969
9,15,111.72767639160156,124.79399871826172
9,16,107.5855712890625,136.38922119140625
9,17,107.05836486816406,144.6387176513672
9,18,107.25669860839844,135.60508728027344
9,19,104.41693878173828,136.3897247314453
9,20,103.06796264648438,129.97897338867188
9,21,100.49466705322266,120.93898010253906
9,22,99.01231384277344,115.10604858398438
9,23,99.71368408203125,93.30679321289062
10,0,112.89875793457031,45.39249801635742
10,1,117.45222473144531,26.476829528808594
10,2,108.52845001220703,27.672361373901367
10,3,104.99247741699219,22.160816192626953
10,4,100.6885757446289,30.350927352905273
10,5,86.87129974365234,29.6715145111084
10,6,35.90757751464844,46.81749725341797
10,7,44.71982192993164,67.54590606689453
10,8,45.447383880615234,92.75798034667969
10,9,46.569244384765625,85.9063720703125
10,10,45.29176330566406,90.52033233642578
10,11,43.919395446777344,84.82933044433594
10,12,42.99946594238281,81.33712768554688
10,13,55.62245178222656,90.90276336669922
10,14,95.06478118896484,84.65887451171875
10,15,113.4891357421875,97.05408477783203
10,16,109.0140380859375,101.36286926269531
10,17,103.36514282226562,121.96073913574219
10,18,99.11707305908203,124.413330078125
10,19,95.93729400634766,113.08631134033203
10,20,92.56744384765625,112.14530944824219
10,21,87.82015228271484,108.97134399414062
10,22,90.4832763671875,110.9300537109375
10,23,94.67253875732422,72.4271011352539
11,0,99.09647369384766,87.61290740966797
11,1,100.31888580322266,88.45204162597656
11,2,100.5074462890625,86.7550277709961
11,3,98.37769317626953,84.4490966796875
11,4,97.18453216552734,73.64691162109375
11,5,99.01460266113281,77.68310546875
11,6,94.17195892333984,94.2118911743164
11,7,101.35518646240234,76.6031494140625
11,8,92.56031036376953,74.63484954833984
11,9,86.60266876220703,86.74275970458984
11,10,76.09056854248047,87.92998504638672
11,11,41.27168273925781,90.44216918945312
11,12,39.795047760009766,87.91959381103516
11,13,41.637752532958984,92.92010498046875
11,14,74.8076171875,100.88819122314453
11,15,85.7219009399414,106.42061614990234
11,16,98.93138885498047,105.00211334228516
11,17,103.92301940917969,133.074462890625
11,18,107.09053802490234,124.35540008544922
